Date,Ticker,Returns,Volume,Price or Bid/Ask Average,Shares Outstanding,Turnover
2007-09-05,ORCL,0.000483,30556173.0,20.73,5117000.0,0.28806085218053834
2007-09-06,ORCL,-0.009165,26450988.0,20.54,5117000.0,0.25166686678747496
2007-09-07,ORCL,-0.018501,29192043.0,20.16,5117000.0,0.2829818264515108
2007-09-10,ORCL,0.000496,25314865.0,20.17,5117000.0,0.24527557388153398
2007-09-11,ORCL,0.014378,20869439.0,20.46,5117000.0,0.19933783102001626
2007-09-12,ORCL,0.00391,30826374.0,20.54,5117000.0,0.2932963017864921
2007-09-13,ORCL,-0.004382,24565310.0,20.45,5117000.0,0.2347542804009646
2007-09-14,ORCL,-0.018582,35461361.0,20.07,5117000.0,0.3452968450563734
2007-09-17,ORCL,-0.002491,23349285.0,20.02,5117000.0,0.227926119219846
2007-09-18,ORCL,0.035464,28759794.0,20.73,5117000.0,0.27112592824293585
2007-09-19,ORCL,0.005306,46366923.0,20.84,5117000.0,0.43480561576949667
2007-09-20,ORCL,0.009597,56791665.0,21.04,5117000.0,0.5275011963402392
2007-06-20,MSFT,-0.014773,47110736.0,30.01,9566808.0,0.16409178364095
2007-06-21,MSFT,0.006998,57059364.0,30.22,9566808.0,0.1973628502878285
2007-06-22,MSFT,-0.024156,88491068.0,29.49,9566808.0,0.3136588935060651
2007-06-25,MSFT,0,53984230.0,29.49,9566808.0,0.1913485081745982
2007-06-26,MSFT,0.001017,48320518.0,29.52,9566808.0,0.17109927532664607
2007-06-27,MSFT,0.011856,55246266.0,29.87,9566808.0,0.19333062258271866
2007-06-28,MSFT,-0.001339,46191383.0,29.83,9566808.0,0.16186041669623624
2007-06-29,MSFT,-0.012068,71321820.0,29.47,9380000.0,0.2580117252701059
2007-07-02,MSFT,0.009162,47503370.0,29.74,9380000.0,0.17028665635220955
2007-07-03,MSFT,0.009415,35306732.0,30.02,9380000.0,0.12538454108064417
2007-07-05,MSFT,-0.000999,47845197.0,29.99,9380000.0,0.17008226978289137
2007-07-06,MSFT,-0.000667,57603980.0,29.97,9380000.0,0.2049098850093875
2007-07-09,MSFT,-0.003337,33900898.0,29.87,9380000.0,0.12099659291185756
2007-07-10,MSFT,-0.018078,66434006.0,29.33,9380000.0,0.24147687116024766
2007-07-11,MSFT,0.005455,48257763.0,29.49,9380000.0,0.17445747212202323
2007-07-12,MSFT,0.019668,54301914.0,30.07,9380000.0,0.19252133791586512
2007-07-13,MSFT,-0.008314,42177303.0,29.82,9380000.0,0.15078853719330912
2007-07-16,MSFT,0.007042,47885559.0,30.03,9380000.0,0.1699990095192654
2007-07-17,MSFT,0.024972,77539532.0,30.7799,9380000.0,0.2685672996619765
2007-07-18,MSFT,0.004552,64436862.0,30.92,9380000.0,0.22217339885308257
2007-07-19,MSFT,0.019082,121174346.0,31.51,9380000.0,0.4099769525226026
2007-07-20,MSFT,-0.011108,98370230.0,31.16,9380000.0,0.3365606977947234
2007-07-23,MSFT,0.000963,48910516.0,31.19,9380000.0,0.16717988858437624
2007-07-24,MSFT,-0.012504,63057737.0,30.8,9380000.0,0.21826536496552487
2007-07-25,MSFT,-0.002922,55078953.0,30.71,9380000.0,0.1912066626443537
2007-07-26,MSFT,-0.023771,87619427.0,29.98,9380000.0,0.3115773948801689
2007-07-27,MSFT,-0.019676,69225437.0,29.3901,9380000.0,0.2511087255358438
2007-07-30,MSFT,0.000337,67525450.0,29.4,9380000.0,0.2448597029430109
2007-07-31,MSFT,-0.013946,66689353.0,28.99,9380000.0,0.24524798640219295
2007-08-01,MSFT,0.010693,80012068.0,29.3,9375492.0,0.29126869328609806
2007-08-02,MSFT,0.007509,48046542.0,29.52,9375492.0,0.17360079728923686
2007-08-03,MSFT,-0.018967,69517282.0,28.9601,9375492.0,0.2560345999707336
2007-08-06,MSFT,0.020024,59524123.0,29.54,9375492.0,0.21492574800435024
2007-08-07,MSFT,0.000338,49695208.0,29.55,9375492.0,0.1793754319498073
2007-08-08,MSFT,0.015228,52295305.0,30.0,9375492.0,0.1859291046628095
2007-08-09,MSFT,-0.023333,73141527.0,29.3,9375492.0,0.26625779743925454
2007-08-10,MSFT,-0.020137,76601137.0,28.71,9375492.0,0.28458234643739544
2007-08-13,MSFT,-0.002786,55617006.0,28.63,9375492.0,0.20720116380559203
2007-08-14,MSFT,-0.009081,42823635.0,28.27,9375492.0,0.16157108919635607
2007-08-15,MSFT,-0.006013,48120465.0,28.1,9375492.0,0.1826541011455121
2007-08-16,MSFT,-0.01032,81521176.0,27.81,9375492.0,0.312662200141698
2007-08-17,MSFT,0.015822,76748357.0,28.25,9375492.0,0.28977209942688875
2007-08-20,MSFT,0.000354,50757769.0,28.26,9375492.0,0.1915738820365938
2007-08-21,MSFT,-0.006723,50842339.0,28.07,9375492.0,0.1931919569991949
2007-08-22,MSFT,0.005344,46021808.0,28.22,9375492.0,0.1739452602022603
2007-08-23,MSFT,0.002835,33886369.0,28.3,9375492.0,0.12771577191680805
2007-08-24,MSFT,0.018021,45162653.0,28.81,9375492.0,0.16720225102709255
2007-08-27,MSFT,-0.011107,32791057.0,28.49,9375492.0,0.12276339755473652
2007-08-28,MSFT,-0.019656,44542982.0,27.93,9375492.0,0.17010390550462356
2007-08-29,MSFT,0.02363,45575145.0,28.59,9375492.0,0.17002776109839662
2007-08-30,MSFT,-0.004897,33689914.0,28.45,9375492.0,0.12630587855595266
2007-08-31,MSFT,0.009842,42788501.0,28.73,9375492.0,0.15885371603130682
2007-09-04,MSFT,0.002785,45383482.0,28.81,9375492.0,0.16801980941747455
2007-09-05,MSFT,-0.011454,47993192.0,28.48,9375492.0,0.1797403499979677
2007-09-06,MSFT,0.015098,45627095.0,28.91,9375492.0,0.16833741723772327
2007-09-07,MSFT,-0.016257,52163911.0,28.44,9401752.0,0.1950885415606214
2007-09-10,MSFT,0.001406,37257551.0,28.48,9401752.0,0.13914433466075188
2007-09-11,MSFT,0.015801,34380780.0,28.93,9401752.0,0.12640332571625887
2007-09-12,MSFT,0,42472597.0,28.93,9401752.0,0.15615345296431318
2007-09-13,MSFT,0.00795,35378314.0,29.16,9401752.0,0.12904489286263268
2007-09-14,MSFT,-0.004115,33498479.0,29.04,9401752.0,0.12269297160620415
2007-09-17,MSFT,-0.010847,39537097.0,28.725,9401752.0,0.14639827169342112
2007-09-18,MSFT,0.007137,77482751.0,28.93,9401752.0,0.2848707159071081
2007-09-19,MSFT,-0.008987,93843867.0,28.67,9401752.0,0.3481524143404851
2007-09-20,MSFT,-0.008716,67169015.0,28.4201,9401752.0,0.25138223708404045
2007-06-20,AYE,-0.028407,1094315.0,50.62,165711.0,0.13045744639549825
2007-06-21,AYE,0.002963,912385.0,50.77,165711.0,0.10844752255364899
2007-06-22,AYE,-0.008273,1541125.0,50.35,165711.0,0.1847085727795553
2007-06-25,AYE,0.005958,1583660.0,50.65,165711.0,0.18868229917017426
2007-06-26,AYE,0.020928,2104500.0,51.71,165711.0,0.24559699811077965
2007-06-27,AYE,0.010636,1183900.0,52.26,165711.0,0.13670810932758704
2007-06-28,AYE,-0.004592,1484889.0,52.02,165711.0,0.17225518528084324
2007-06-29,AYE,-0.005383,1601600.0,51.74,165711.0,0.18679975299978113
2007-07-02,AYE,0.016815,1512947.0,52.61,165711.0,0.17354179077619133
2007-07-03,AYE,0.007223,642200.0,52.99,165711.0,0.07313496259376134
2007-07-05,AYE,-0.000944,1130800.0,52.94,165711.0,0.12889928986545154
2007-07-06,AYE,0.002267,986600.0,53.06,165711.0,0.11220766562237565
2007-07-09,AYE,0.011119,1127500.0,53.65,165711.0,0.12682225941329503
2007-07-10,AYE,-0.010997,1166500.0,53.06,165711.0,0.13266799305544413
2007-07-11,AYE,0.002639,765400.0,53.2,165711.0,0.08682114069140118
2007-07-12,AYE,0.02594,964000.0,54.58,165711.0,0.10658403670671081
2007-07-13,AYE,0.023635,2042414.0,55.87,165711.0,0.22060419629617836
2007-07-16,AYE,-0.013782,1260239.0,55.1,165711.0,0.13802252825505443
2007-07-17,AYE,-0.000907,1371200.0,55.05,165711.0,0.1503114772914431
2007-07-18,AYE,0.008174,1431724.0,55.5,165711.0,0.15567360542648845
2007-07-19,AYE,0.025225,1655897.0,56.9,165711.0,0.17561827815951497
2007-07-20,AYE,-0.022671,1622600.0,55.61,165711.0,0.1760788683838033
2007-07-23,AYE,0.004316,823900.0,55.85,165711.0,0.08902254119571039
2007-07-24,AYE,-0.043151,1232931.0,53.44,165711.0,0.13922620479482045
2007-07-25,AYE,0.000936,1845793.0,53.49,165711.0,0.20823755630150642
2007-07-26,AYE,-0.025051,2458293.0,52.15,165711.0,0.2844644460753107
2007-07-27,AYE,0.000383,3800900.0,52.17,165711.0,0.4396572800652859
2007-07-30,AYE,0.011118,2035400.0,52.75,165711.0,0.23284985300023128
2007-07-31,AYE,-0.009858,1996600.0,52.23,165711.0,0.23068518422832965
2007-08-01,AYE,0.035037,1410594.0,54.06,165711.0,0.15746159734077242
2007-08-02,AYE,0,2391300.0,54.06,165711.0,0.26693571482722106
2007-08-03,AYE,-0.028857,1887200.0,52.5,165711.0,0.2169238413060489
2007-08-06,AYE,0.032762,1691900.0,54.22,165711.0,0.18830586163503432
2007-08-07,AYE,0.026927,1471300.0,55.68,165711.0,0.15945959996689985
2007-08-08,AYE,0.009339,2286300.0,56.2,165711.0,0.24549664573819302
2007-08-09,AYE,-0.042883,2247300.0,53.79,165711.0,0.2521205056049054
2007-08-10,AYE,-0.020822,1966900.0,52.67,165711.0,0.22535522082138057
2007-08-13,AYE,0.006455,2033500.0,53.01,165711.0,0.23149149219360088
2007-08-14,AYE,-0.019996,1164300.0,51.95,165711.0,0.13524711426793803
2007-08-15,AYE,-0.026371,1306821.0,50.58,165711.0,0.15591429727810152
2007-08-16,AYE,-0.017794,3443000.0,49.68,165711.0,0.4182193256519356
2007-08-17,AYE,0.036634,1847700.0,51.5,165711.0,0.21650747326920133
2007-08-20,AYE,-0.00699,939200.0,51.14,165711.0,0.11082711348609335
2007-08-21,AYE,0.008017,992300.0,51.55,165711.0,0.1161617065307761
2007-08-22,AYE,0.030262,1260800.0,53.11,165711.0,0.14325789340624426
2007-08-23,AYE,0.012804,2032000.0,53.79,165711.0,0.2279663896182832
2007-08-24,AYE,0.005205,1221400.0,54.07,165711.0,0.13631705906866942
2007-08-27,AYE,-0.040133,1178300.0,51.9,165711.0,0.13700524123241742
2007-08-28,AYE,-0.009441,1059500.0,51.41,165711.0,0.12436610102369781
2007-08-29,AYE,0.02587,719900.0,52.74,165711.0,0.08237220847776874
2007-08-30,AYE,-0.027304,1408700.0,51.3,165711.0,0.1657104174517973
2007-08-31,AYE,0.006043,1274900.0,51.61,166072.0,0.14874618852038496
2007-09-04,AYE,0.030808,1315400.0,53.2,166072.0,0.14888460372473647
2007-09-05,AYE,-0.014474,1287500.0,52.43,166072.0,0.1478668986499811
2007-09-06,AYE,0.006103,959800.0,52.75,166072.0,0.10956248292010158
2007-09-07,AYE,-0.022938,804500.0,51.54,166072.0,0.09399077234697967
2007-09-10,AYE,0.001746,1339200.0,51.63,166072.0,0.15618772521787136
2007-09-11,AYE,0.01104,1240700.0,52.2,166072.0,0.14311984701645356
2007-09-12,AYE,0.000383,1087600.0,52.22,166072.0,0.1254110822143396
2007-09-13,AYE,0.002872,729200.0,52.37,166072.0,0.08384316616520666
2007-09-14,AYE,-0.007447,1544500.0,51.98,166072.0,0.17891848890214662
2007-09-17,AYE,-0.007695,835400.0,51.58,166072.0,0.09752517027283009
2007-09-18,AYE,0.014347,1260300.0,52.32,166072.0,0.14504734544229958
2007-09-19,AYE,0.023891,1503400.0,53.57,166072.0,0.16898824031585427
2007-09-20,AYE,-0.01064,574500.0,53.0,166072.0,0.06527062142630566
2007-06-20,TROW,-0.009931,2490478.0,52.67,265620.0,0.17801582813072922
2007-06-21,TROW,0.005506,1358330.0,52.96,265620.0,0.0965598414107699
2007-06-22,TROW,-0.020393,1758355.0,51.88,265620.0,0.1275985740175137
2007-06-25,TROW,-0.016384,1747303.0,51.03,265620.0,0.12890859704882524
2007-06-26,TROW,0.012738,1689529.0,51.68,265620.0,0.1230785506099055
2007-06-27,TROW,0.006385,1581254.0,52.01,265620.0,0.11446007100654149
2007-06-28,TROW,0.012305,1288303.0,52.65,265620.0,0.09212104804806158
2007-06-29,TROW,-0.014435,1489394.0,51.89,265166.0,0.10824506159133204
2007-07-02,TROW,0.026017,1300735.0,53.24,265166.0,0.09213676126942309
2007-07-03,TROW,0.005635,1039278.0,53.54,265166.0,0.07320412092716311
2007-07-05,TROW,-0.009245,1087366.0,53.045,265166.0,0.0773060455210045
2007-07-06,TROW,0.011217,649436.0,53.64,265166.0,0.045659352930315575
2007-07-09,TROW,-0.001678,1139335.0,53.55,265166.0,0.08023689728513034
2007-07-10,TROW,-0.046872,1938993.0,51.04,265166.0,0.14326751832772783
2007-07-11,TROW,-0.000588,2010176.0,51.01,265166.0,0.1486144103229692
2007-07-12,TROW,0.035483,1537673.0,52.82,265166.0,0.10978620029730371
2007-07-13,TROW,0.009277,1391694.0,53.31,265166.0,0.0984503433194104
2007-07-16,TROW,0.011818,1029740.0,53.94,265166.0,0.07199441441808327
2007-07-17,TROW,0.023545,2125417.0,55.21,265166.0,0.14518059280976453
2007-07-18,TROW,-0.023546,1719700.0,53.91,265166.0,0.12029997083489956
2007-07-19,TROW,0.008533,1001375.0,54.37,265166.0,0.06945756825346482
2007-07-20,TROW,-0.023726,1648211.0,53.08,265166.0,0.11710193101884321
2007-07-23,TROW,0.004898,833626.0,53.34,265131.0,0.058946460177264605
2007-07-24,TROW,-0.035996,1478104.0,51.42,265131.0,0.10842075072871406
2007-07-25,TROW,0.006223,1854882.0,51.74,265131.0,0.13521639484714643
2007-07-26,TROW,-0.02068,2465726.0,50.67,265131.0,0.18354112970686876
2007-07-27,TROW,-0.031379,2007860.0,49.08,265131.0,0.15430086617666455
2007-07-30,TROW,0.019356,1899914.0,50.03,265131.0,0.14323294787549587
2007-07-31,TROW,0.041975,3916844.0,52.13,265131.0,0.2833922961469941
2007-08-01,TROW,-0.02935,4582959.0,50.6,265131.0,0.3416134373308456
2007-08-02,TROW,-0.014229,2447500.0,49.88,265131.0,0.18506988104111835
2007-08-03,TROW,-0.029872,3010050.0,48.39,265131.0,0.23461597384664293
2007-08-06,TROW,0.084522,3789507.0,52.48,265131.0,0.2723506257284135
2007-08-07,TROW,0.037538,3343851.0,54.45,265131.0,0.23162664855742135
2007-08-08,TROW,0.044261,3470103.0,56.86,265131.0,0.23018392995495734
2007-08-09,TROW,-0.069293,3766507.0,52.92,265131.0,0.2684469249649697
2007-08-10,TROW,-0.04554,3756047.0,50.51,265131.0,0.28047434317593234
2007-08-13,TROW,-0.005939,2441418.0,50.21,265131.0,0.18339665530551016
2007-08-14,TROW,-0.0237,1554436.0,49.02,265131.0,0.1196021616411293
2007-08-15,TROW,-0.013668,1615538.0,48.35,265131.0,0.12602601082135834
2007-08-16,TROW,0.028956,4292720.0,49.75,265131.0,0.32544602157321717
2007-08-17,TROW,0.044221,2580165.0,51.95,265131.0,0.1873274485565018
2007-08-20,TROW,-0.001155,1666687.0,51.89,265131.0,0.12114621988220299
2007-08-21,TROW,0.012334,1508699.0,52.53,265131.0,0.1083264951066078
2007-08-22,TROW,0.007424,1247556.0,52.92,265131.0,0.08891595632813047
2007-08-23,TROW,-0.027589,1239328.0,51.46,265131.0,0.09083557507726497
2007-08-24,TROW,0.02157,1730909.0,52.57,265131.0,0.12418688942141679
2007-08-27,TROW,-0.0175,1108856.0,51.65,265131.0,0.08097376166742727
2007-08-28,TROW,-0.05363,2171486.0,48.88,265131.0,0.16755806123719552
2007-08-29,TROW,0.03662,1742695.0,50.67,265131.0,0.12972090533762132
2007-08-30,TROW,-0.012828,1371500.0,50.02,265131.0,0.10341692366054961
2007-08-31,TROW,0.02599,1398352.0,51.32,265131.0,0.10277070844782732
2007-09-04,TROW,0.015978,1186142.0,52.14,265131.0,0.08580352843415731
2007-09-05,TROW,-0.037783,1844943.0,50.17,265131.0,0.13870060076514262
2007-09-06,TROW,-0.00299,1398354.0,50.02,265131.0,0.10544182928795057
2007-09-07,TROW,-0.014194,2370287.0,49.31,265131.0,0.18130318027753925
2007-09-10,TROW,0.018455,2066574.0,50.22,265131.0,0.15520787142995568
2007-09-11,TROW,0.022501,1565148.0,51.35,265131.0,0.1149620376342261
2007-09-12,TROW,-0.003895,1179461.0,51.15,265131.0,0.08697159547603411
2007-09-13,TROW,0.038905,1542308.0,53.14,265131.0,0.10946847080729652
2007-09-14,TROW,-0.003199,950878.0,52.97,265131.0,0.0677071162089704
2007-09-17,TROW,-0.019067,1022869.0,51.96,265131.0,0.07424895820887055
2007-09-18,TROW,0.063895,2785575.0,55.28,265131.0,0.1900580687194465
2007-09-19,TROW,0.00398,1759967.0,55.33,265131.0,0.11997295189077656
2007-09-20,TROW,-0.025845,1511539.0,53.9,265131.0,0.10577184552637119
2007-06-20,HON,-0.02281,5180221.0,56.55,779718.0,0.11748383609881546
2007-06-21,HON,-0.003006,5166679.0,56.38,779718.0,0.1175300303971696
2007-06-22,HON,-0.012416,6236100.0,55.68,779718.0,0.14364029355971403
2007-06-25,HON,0,3567633.0,55.68,779718.0,0.08217569497495601
2007-06-26,HON,0.005927,6656709.0,56.01,779718.0,0.1524250826716906
2007-06-27,HON,0.005356,4796509.0,56.31,779718.0,0.10924515274108393
2007-06-28,HON,0.001243,3975367.0,56.38,779718.0,0.09043043013701933
2007-06-29,HON,-0.001774,3923125.0,56.28,779718.0,0.08940061308736276
2007-07-02,HON,0.014215,4295522.0,57.08,779718.0,0.09651491289971756
2007-07-03,HON,0.002102,1784200.0,57.2,779718.0,0.040004601269058415
2007-07-05,HON,0.02028,4983670.0,58.36,779718.0,0.10952075622651652
